Canada,AB,Calgary,Landmark Cinemas 16 Country Hills & IMAX,1.90:1,IMAX CoLa,1.90:1,,20.00m×10.70m,Yes
Canada,AB,Calgary,Scotiabank Chinook & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,21.33m×16.18m,Yes
Canada,AB,Edmonton,Scotiabank Edmonton & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,21.30m×16.00m,Yes
Canada,AB,Edmonton,TELUS World of Science – Edmonton IMAX Theatre,1.90:1,IMAX GT Laser,1.90:1,,21.33m×12.80m,Limited
United States,AL,Birmingham,"IMAX Dome, McWane Center",Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,,24.00m,
Colombia,Antioquia,Envigado,Cine Colombia Viva Envigado & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,AZ,Phoenix,AMC Deer Valley 30 & IMAX,1.90:1,IMAX CoLa,1.90:1,,15.60m×8.70m,Yes
United States,AZ,Grand Canyon,"Grand Canyon IMAX, Grand Canyon Visitors Center",1.43:1,IMAX GT Laser,1.43:1,,23.80m×18.00m,
United States,AZ,Tempe,Harkins Arizona Mills 25 & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,24.40m×18.30m,Yes
Curaçao,Banda Ariba,Willemstad,The Movies Curaçao & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
Canada,BC,Coquitlam,Cineplex Cinemas Coquitlam & IMAX,1.90:1,IMAX CoLa,1.90:1,,18.53m×10.09m 60.8 ft. × 33.1 ft.,Yes
Canada,BC,Langley,Cineplex Cinemas Langley & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,21.30m×16.00m,Yes
Canada,BC,Vancouver,OMNIMAX Theatre at Science World,Dome 1.43:1,,,IMAX GT Dome 15/70 mm,27.00m,
Canada,BC,Victoria,"IMAX Victoria, Royal BC Museum",1.43:1,IMAX GT Laser,1.43:1,,25.63m×18.68m,Yes
Colombia,Bogota,Bogota,Multiplex Nuestro Bogota & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,CA,Aliso Viejo,Regal Edwards Aliso Viejo & IMAX,1.90:1,IMAX CoLa,1.90:1,,16.50m×10.40m,Yes
United States,CA,Arcadia,AMC Santa Anita 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,,15.90m×10.10m,Yes
United States,CA,Burbank,AMC Burbank 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,,19.20m×11.30m,Yes
United States,CA,Canoga Park,AMC Topanga 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,CA,Daly City,Cinemark Century Daly City 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,CA,Emeryville,AMC Bay Street 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,,15.10m×8.80m,Yes
United States,CA,Fresno,Regal Edwards Fresno & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,CA,Glendale,AMC The Americana at Brand 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,CA,Long Beach,Regal Edwards Long Beach & IMAX,1.90:1,IMAX CoLa,1.90:1,,16.50m×10.30m,Yes
United States,CA,Los Angeles,AMC Century City 15 & IMAX,1.90:1,IMAX CoLa,1.90:1,,16.80m×9.50m,Yes
United States,CA,Los Angeles,AMC The Grove & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,CA,Montclair,AMC DINE-IN Montclair 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,CA,National City,AMC Plaza Bonita 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,,15.50m×10.00m,Yes
United States,CA,Newark,AMC Newpark 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,,18.50m×10.20m,Yes
United States,CA,Orange,AMC 30 at the Block & IMAX,1.90:1,IMAX CoLa,1.90:1,,17.40m×8.80m,Yes
United States,CA,Santa Clara,AMC Mercado 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,,17.40m×9.50m,Yes
United States,CA,South Gate,Regal Edwards South Gate & IMAX,1.90:1,IMAX CoLa,1.90:1,,17.70m×11.30m,Yes
United States,CA,Stockton,Regal Stockton City Centre & IMAX,1.90:1,IMAX CoLa,1.90:1,,16.10m×9.60m,Yes
United States,CA,Sunnyvale,AMC DINE-IN Sunnyvale 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,CA,Temecula,Regal Edwards Temecula & IMAX,1.90:1,IMAX CoLa,1.90:1,,15.50m×10.20m,Yes
United States,CA,Torrance,AMC Del Amo 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,,15.90m×9.80m,Yes
United States,CA,Yorba Linda,Regal Yorba Linda & IMAX,1.90:1,IMAX CoLa,1.90:1,,,Yes
United States,CA,City of Industry,AMC Puente 20 & IMAX,1.90:1,IMAX GT Laser,1.90:1,,17.40m×9.10m,Yes
United States,CA,Los Angeles,"IMAX, California Science Center",1.43:1,IMAX GT Laser,1.43:1,,27.40m×20.30m,
United States,CA,San Diego,Fleet Science Center,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,,23.20m,
United States,CA,San Jose,"IMAX Dome Theater, The Tech Interactive",Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,,25.00m,
United States,CA,Dublin,Regal Hacienda Crossings & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,23.28m×17.00m,Yes
United States,CA,Hollywood,TCL Chinese Theatres IMAX,1.90:1,IMAX GT Laser,1.90:1,"IMAX SR 15/70 mm, (2D Only)(Temporary)",28.70m×14.00m,Yes
United States,CA,Irvine,Regal Edwards Irvine Spectrum & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX 15/70 mm,26.80m×20.60m,Yes
United States,CA,Ontario,Regal Edwards Ontario Palace & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,27.10m×20.40m,Yes
United States,CA,Sacramento,Esquire IMAX Theatre,1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,23.10m×18.00m,Yes
United States,CA,San Francisco,AMC Metreon 16 & IMAX,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,29.80m×23.00m,Yes
United States,CA,Universal City,Universal Cinema AMC at CityWalk Hollywood & IMAX,1.43:1,IMAX GT Laser,1.43:1,IMAX GT3D 15/70 mm,24.10m×17.70m,Yes
United States,CO,Denver,AMC Orchard 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,,15.60m×10.00m,Yes
United States,CO,Denver,AMC Westminster Promenade 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,,15.90m×10.60m,Yes
